"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_median_value","thy_resv_average_value","thy_resv_high_var","swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_max_value","dqi_min_value","dqi_median_value","dqi_average_value","hvv_max_value","hvv_min_value","hvv_median_value","hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",3.76753,0,3.76753,0.0848437092341333,1,3.76753,3.76753,3.76753,0.194689,0.102933,0.1516675,0.149095,12,0.194689,0.1516675,0.1567745,NA,NA,NA,NA,"(60,65]","(35,40]","(40,45]","(45,50]",NA,NA,NA,NA,NA,NA,NA,NA,116.885,77.3201,88.9302,89.3027220893048,"2","1","23","1","0","0","0","0","0","0","0","0","0","0",2015-01-06
"2",5.83,0,2.4719,0.133018271735585,5,5.83,3.32013,3.419808,0.245538,0.0893218,0.158588,0.149611468595041,121,0.245538,0.158588,0.159659487603306,NA,NA,NA,NA,"(60,65]","(35,40]","(45,50]","(45,50]",NA,NA,NA,NA,NA,NA,NA,NA,109.131,93.7116,106.997,106.395436560019,"1","1","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-07
"3",11.1331,0,0.7483135,0.103809375920341,2,11.1331,6.09068,6.09068,0.169786,0.0860681,0.134357,0.128971811904762,105,0.169786,0.134357,0.136408980952381,NA,NA,NA,NA,"(65,70]","(35,40]","(45,50]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,109.46,95.0039,106.915,106.701379143519,"0","0","15","1","0","0","0","0","0","0","0","0","0","0",2015-01-08
"4",0.281387,0,0.281387,0.103803178402787,0,-Inf,NA,NA,0.185121,0.0967802,0.1352305,0.129628418939394,66,0.185121,0.1352305,0.138273803030303,NA,NA,NA,NA,"(65,70]","(45,50]","(50,55]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,111.145,76.6608,106.336,98.3786944675926,"0","0","14","1","0","0","0","0","0","0","0","0","0","0",2015-01-09
"5",6.60789,0,0.33178,0.0903185639025911,1,6.60789,6.60789,6.60789,0.225454,0.0891774,0.1379065,0.133154965625,64,0.225454,0.1379065,0.1413704375,NA,NA,NA,NA,"(65,70]","(45,50]","(50,55]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,108.411,92.1834,106.13,101.186342534722,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-10
"6",0.632263,0.0439453,0.581628,0.0801409733036525,0,-Inf,NA,NA,0.2916,0.101533,0.139003,0.133238170542636,129,0.2916,0.139003,0.141442209302326,NA,NA,NA,NA,"(60,65]","(40,45]","(50,55]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,108.42,105.745,107.183,107.080524421296,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-11
"7",0.530993,0.0439453,0.487377,0.0809199492321699,0,-Inf,NA,NA,0.214553,0.0906312,0.136437,0.131295478632479,117,0.214553,0.136437,0.139682803418803,NA,NA,NA,NA,"(60,65]","(40,45]","(45,50]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,108.055,105.296,106.557,106.584717592593,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-12
"8",0.981664,0.0439453,0.550633,0.0855526494819397,0,-Inf,NA,NA,0.174673,0.100494,0.1341915,0.130367375,112,0.174673,0.1341915,0.137571830357143,NA,NA,NA,NA,"(65,70]","(40,45]","(45,50]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,108.038,95.7145,106.121,106.011588530093,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-13
"9",1.73959,0.0439453,0.547115,0.0836096434274641,0,-Inf,NA,NA,0.216524,0.0299571,0.146433,0.142813713752914,143,0.216524,0.146433,0.149825594405594,NA,NA,NA,NA,"(65,70]","(40,45]","(45,50]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,107.844,105.024,106.315,106.277968285547,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-14
"10",0.547115,0.0439453,0.532809,0.0831025978446516,0,-Inf,NA,NA,0.204475,0.121461,0.1735,0.163587943615257,201,0.204475,0.1735,0.173553014925373,NA,NA,NA,NA,"(60,65]","(35,40]","(45,50]","(45,50]",NA,NA,NA,NA,NA,NA,NA,NA,107.869,104.174,106.102,105.788820717593,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-15
